Filename,Comp,RT,Area
20220711_04,M045.P07,4.357,486890
20220711_04,M057.P08,4.716,110861
20220711_04,N070.P03,8.965,2914
20220711_04,N093.P02,9.169,15586
20220711_04,N059.P06,9.28,60597
20220711_04,N094.P04,9.336,25502
20220711_04,Q081.P01,9.475,7107
20220711_04,R085.P01,12.784,33873
20220711_04,S100.P01,15.82,0
20220711_04,S113.P01,15.873,53722
20220711_04,S133.P01,16.128,688319
20220711_04,S084.P01,16.211,23343
20220711_04,S150.P01,17.03,103929
20220711_04,S136.P01,17.115,185659
20220711_04,S105.P04,17.934,20513
20220711_04,T091.P08,25.187,38897
20220711_06,M071.P01,2.753,83410
20220711_06,M056.P02,3.19,9908
20220711_06,M045.P02,3.249,463719
20220711_06,M045.P07,4.366,756354
20220711_06,N058.P02,5.674,3734
20220711_06,N057.P06,7.703,53598
20220711_06,N044.P11,9.2,50166
20220711_06,N059.P06,9.208,75450
20220711_06,N094.P04,9.3,64213
20220711_06,Q081.P01,9.471,7790
20220711_06,Q125.P01,9.899,5197
20220711_06,Q059.P01,10.084,25289
20220711_06,Q085.P01,10.316,34413
20220711_06,Q097.P03,11.384,3041
20220711_06,R085.P01,12.751,36701
20220711_06,S113.P01,15.869,49224
20220711_06,S133.P01,16.126,776011
20220711_06,S084.P01,16.217,11396
20220711_06,S150.P01,17.029,113689
20220711_06,S099.P01,17.059,10117
20220711_06,S136.P01,17.11,235764
20220711_06,S105.P04,17.897,10706
20220711_06,S114.P02,18.203,11970
20220711_06,T091.P08,25.188,46374
20220711_07,M043.P03,3.08,92407
20220711_07,M045.P06,4.026,252446
20220711_07,V069.P04,4.348,100504
20220711_07,M045.P07,4.369,1094455
20220711_07,N057.P07,7.525,235565
20220711_07,N057.P10,8.567,150315
20220711_07,N044.P11,9.11,86937
20220711_07,N059.P06,9.118,135984
20220711_07,N094.P04,9.253,177270
20220711_07,Q081.P01,9.469,7395
20220711_07,Q085.P01,10.247,42550
20220711_07,Q057.P09,10.689,21689
20220711_07,R085.P01,12.728,50627
20220711_07,S113.P01,15.852,59187
20220711_07,S133.P01,16.121,762359
20220711_07,S084.P01,16.212,29092
20220711_07,S150.P01,17.021,88833
20220711_07,S136.P01,17.102,245055
20220711_07,S105.P04,17.903,16123
20220711_07,T091.P08,25.181,51632
20220711_08,M045.P06,4.135,355371
20220711_08,M069.P05,4.816,25457
20220711_08,M057.P10,5.493,23625
20220711_08,M109.P01,5.653,0
20220711_08,N057.P07,7.573,242158
20220711_08,N057.P10,8.603,102480
20220711_08,N070.P03,8.91,4307
20220711_08,N059.P06,9.14,263386
20220711_08,N044.P11,9.2,24418
20220711_08,N094.P04,9.256,117329
20220711_08,Q081.P01,9.467,7812
20220711_08,Q059.P01,10.05,29656
20220711_08,Q085.P01,10.252,42939
20220711_08,Q113.P02,11.06,9199
20220711_08,R085.P01,12.729,56418
20220711_08,S113.P01,15.853,74717
20220711_08,S133.P01,16.12,803436
20220711_08,S150.P01,17.021,95939
20220711_08,S099.P01,17.043,6501
20220711_08,S136.P01,17.102,233508
20220711_08,S105.P04,17.903,17989
20220711_08,T055.P04,24.53,2894
20220711_08,T091.P08,25.174,33131
20220711_09,M043.P03,3.077,106126
20220711_09,M043.P03,3.3,34942
20220711_09,M043.P08,3.997,55119
20220711_09,M045.P06,4.008,263615
20220711_09,M045.P07,4.362,1011135
20220711_09,V069.P04,4.364,205195
20220711_09,M055.P05,4.737,63447
20220711_09,N108.P01,7.193,232328
20220711_09,N057.P07,7.533,145072
20220711_09,N044.P11,9.096,28879
20220711_09,N059.P06,9.109,188470
20220711_09,N094.P04,9.27,48446
20220711_09,Q081.P01,9.469,4582
20220711_09,Q085.P01,10.237,57967
20220711_09,Q057.P09,10.693,22987
20220711_09,R085.P01,12.72,48137
20220711_09,S100.P01,15.787,3114
20220711_09,S113.P01,15.849,52381
20220711_09,S133.P01,16.118,708971
20220711_09,S084.P01,16.205,22001
20220711_09,S099.P01,17.014,35454
20220711_09,S150.P01,17.019,87605
20220711_09,S136.P01,17.098,250742
20220711_09,S105.P04,17.893,12907
20220711_09,T091.P08,25.178,52286
20220711_10,M045.P02,3.295,14648
20220711_10,M045.P07,4.357,687605
20220711_10,V069.P04,4.403,105432
20220711_10,M057.P08,4.647,33229
20220711_10,M069.P05,4.808,71720
20220711_10,N073.P01,5.907,2751
20220711_10,N056.P02,6.531,15347
20220711_10,N108.P01,7.297,77413
20220711_10,N093.P02,9.164,11575
20220711_10,N094.P04,9.303,59736
20220711_10,Q081.P01,9.467,6455
20220711_10,Q054.P01,9.519,7126
20220711_10,Q059.P01,10.113,28679
20220711_10,Q097.P03,11.364,9395
20220711_10,R085.P01,12.761,38600
20220711_10,S100.P01,15.807,3182
20220711_10,S113.P01,15.862,54040
20220711_10,S133.P01,16.123,725747
20220711_10,S150.P01,17.023,96517
20220711_10,S099.P01,17.07,5157
20220711_10,S136.P01,17.106,218255
20220711_10,S128.P01,17.52,68292
20220711_10,S105.P04,17.906,24187
20220711_10,T091.P08,25.173,45885
20220712_05,M045.P06,4.013,255612
20220712_05,M045.P07,4.379,1073270
20220712_05,V069.P04,4.383,203929
20220712_05,M057.P08,4.74,1345459
20220712_05,M069.P05,4.805,17800
20220712_05,M109.P01,5.569,25680
20220712_05,N058.P02,5.704,38463
20220712_05,N074.P02,7.413,5377
20220712_05,N057.P07,7.556,60703
20220712_05,N070.P03,8.96,1557
20220712_05,N093.P02,9.111,3818
20220712_05,N059.P06,9.263,42318
20220712_05,N094.P04,9.268,60655
20220712_05,Q081.P01,9.46,9577
20220712_05,Q085.P01,10.235,32467
20220712_05,Q122.P02,10.29,25035
20220712_05,Q057.P09,10.696,21941
20220712_05,Q069.P02,11.28,4814
20220712_05,Q097.P03,11.282,7477
20220712_05,R085.P01,12.715,32874
20220712_05,R099.P01,13.39,5583
20220712_05,S100.P01,15.788,4999
20220712_05,S113.P01,15.849,58808
20220712_05,S133.P01,16.119,595097
20220712_05,S084.P01,16.214,9179
20220712_05,S099.P01,17.013,35668
20220712_05,S150.P01,17.018,80510
20220712_05,S136.P01,17.1,209932
20220712_05,S105.P04,17.9,13941
20220712_05,T055.P04,24.633,1301
20220712_05,T091.P08,25.179,41537
20220712_06,M045.P02,3.243,544308
20220712_06,M045.P06,3.991,415409
20220712_06,M045.P07,4.346,722650
20220712_06,V069.P04,4.348,150979
20220712_06,M057.P08,4.711,179916
20220712_06,M069.P05,4.793,94230
20220712_06,M109.P01,5.556,55141
20220712_06,N057.P06,7.653,213868
20220712_06,W116.P01,8.229,4164
20220712_06,N059.P06,9.184,672312
20220712_06,N094.P04,9.26,76129
20220712_06,Q081.P01,9.47,7329
20220712_06,Q113.P02,11.073,11266
20220712_06,Q097.P03,11.33,28527
20220712_06,Q120.P01,11.591,13291
20220712_06,R085.P01,12.729,43342
20220712_06,R099.P01,13.274,11978
20220712_06,S100.P01,15.788,9619
20220712_06,S113.P01,15.85,108151
20220712_06,S133.P01,16.114,953039
20220712_06,S084.P01,16.208,12032
20220712_06,S099.P01,17.044,43540
20220712_06,S136.P01,17.103,318616
20220712_06,S105.P04,17.914,41019
20220712_06,S114.P02,18.177,27310
20220712_06,S091.P02,18.513,14711
20220712_06,T091.P08,25.173,41721
20220712_09,M056.P02,3.178,10553
20220712_09,M045.P07,4.345,600061
20220712_09,V069.P04,4.35,112404
20220712_09,M059.P04.2,4.469,1484846
20220712_09,M057.P08,4.637,23872
20220712_09,N057.P06,7.615,71779
20220712_09,N059.P06,9.153,150859
20220712_09,N044.P11,9.16,51749
20220712_09,N094.P04,9.284,47438
20220712_09,Q081.P01,9.469,6218
20220712_09,Q085.P01,10.257,53740
20220712_09,Q057.P09,10.692,64335
20220712_09,Q069.P02,11.303,3845
20220712_09,R085.P01,12.733,38479
20220712_09,S113.P01,15.851,79608
20220712_09,S133.P01,16.125,573984
20220712_09,S084.P01,16.205,9935
20220712_09,S150.P01,17.022,119538
20220712_09,S099.P01,17.047,19690
20220712_09,S136.P01,17.104,266190
20220712_09,S128.P01,17.537,79617
20220712_09,S105.P04,17.893,14644
20220712_09,T091.P08,25.175,44095
20220712_09,T073.P04,29.597,15813
20220712_09,T057.P13,30.419,2070
20220712_11,M043.P03,3.079,132294
20220712_11,M045.P06,4.011,206727
20220712_11,V069.P04,4.366,272021
20220712_11,M045.P07,4.369,1339180
20220712_11,M069.P05,4.808,10839
20220712_11,M043.P13,5.093,54607
20220712_11,M057.P10,5.49,9139
20220712_11,M109.P01,5.564,37382
20220712_11,N058.P02,5.697,29560
20220712_11,N070.P03,8.963,1917
20220712_11,N059.P06,9.117,204486
20220712_11,N094.P04,9.3,34221
20220712_11,Q081.P01,9.467,5656
20220712_11,Q085.P01,10.244,50694
20220712_11,Q057.P09,10.687,33922
20220712_11,R085.P01,12.72,48208
20220712_11,R099.P01,13.33,4259
20220712_11,S100.P01,15.785,11083
20220712_11,S113.P01,15.85,62245
20220712_11,S133.P01,16.12,744065
20220712_11,S084.P01,16.209,13848
20220712_11,S131.P01,16.233,3680
20220712_11,S099.P01,17.011,38288
20220712_11,S150.P01,17.017,79707
20220712_11,S136.P01,17.1,239899
20220712_11,S105.P04,17.892,12878
20220712_15,M071.P01,2.8,201646
20220712_15,M045.P07,4.34,561602
20220712_15,M109.P01,5.643,0
20220712_15,N108.P01,7.19,1000988
20220712_15,N057.P07,7.602,314011
20220712_15,N057.P10,8.62,77995
20220712_15,N044.P11,9.126,203350
20220712_15,Q081.P01,9.463,10021
20220712_15,Q054.P01,9.507,3643
20220712_15,Q125.P01,9.91,1767
20220712_15,Q085.P01,10.253,38238
20220712_15,Q057.P09,10.697,42372
20220712_15,Q097.P03,11.31,15098
20220712_15,R085.P01,12.726,37595
20220712_15,R099.P01,13.323,6834
20220712_15,S100.P01,15.787,13651
20220712_15,S113.P01,15.852,79819
20220712_15,S133.P01,16.117,1044748
20220712_15,S084.P01,16.21,19884
20220712_15,S150.P01,17.019,107531
20220712_15,S136.P01,17.106,245366
20220712_15,S105.P04,17.923,41341
20220712_15,S091.P02,18.497,2946
20220712_16,M071.P01,2.787,31230
20220712_16,M044.P03,3.415,42967
20220712_16,V069.P04,4.348,68502
20220712_16,M045.P07,4.383,723465
20220712_16,V056.P03,4.517,9631
20220712_16,M069.P05,4.79,7936
20220712_16,N057.P07,7.599,183771
20220712_16,N057.P10,8.629,35936
20220712_16,N093.P02,9.07,1531
20220712_16,N044.P11,9.163,42297
20220712_16,N059.P06,9.181,128715
20220712_16,N094.P04,9.298,65121
20220712_16,Q081.P01,9.476,6353
20220712_16,Q128.P02,9.483,1968
20220712_16,Q059.P01,10.059,33610
20220712_16,Q085.P01,10.268,45366
20220712_16,Q097.P03,11.315,7022
20220712_16,R085.P01,12.731,53210
20220712_16,S100.P01,15.799,10196
20220712_16,S113.P01,15.857,50513
20220712_16,S133.P01,16.125,747703
20220712_16,S084.P01,16.214,12187
20220712_16,S150.P01,17.026,69826
20220712_16,S136.P01,17.109,202823
20220712_16,S105.P04,17.899,35457
20220712_16,T091.P08,25.175,50460
20220712_18,M045.P07,4.364,731958
20220712_18,N056.P02,6.537,7028
20220712_18,N108.P01,7.217,200053
20220712_18,N057.P07,7.54,5897
20220712_18,Q081.P01,9.476,7852
20220712_18,Q097.P03,11.381,8285
20220712_18,R085.P01,12.775,43418
20220712_18,R099.P01,13.331,13532
20220712_18,S100.P01,15.817,2214
20220712_18,S113.P01,15.874,66542
20220712_18,S133.P01,16.125,780614
20220712_18,S131.P01,16.207,31287
20220712_18,S084.P01,16.211,58872
20220712_18,S150.P01,17.025,134594
20220712_18,S136.P01,17.113,287654
20220712_18,S105.P04,17.89,16679
20220712_18,T091.P08,25.178,48914
20220712_21,M043.P03,3.063,169219
20220712_21,M056.P02,3.174,37502
20220712_21,M043.P03,3.291,27972
20220712_21,M045.P06,3.998,596746
20220712_21,M043.P08,4.026,102906
20220712_21,V069.P04,4.373,224291
20220712_21,M045.P07,4.376,1147891
20220712_21,M109.P01,5.568,31182
20220712_21,N094.P04,9.253,59501
20220712_21,Q081.P01,9.473,8568
20220712_21,Q085.P01,10.234,41801
20220712_21,Q113.P02,11.046,9157
20220712_21,Q097.P03,11.281,12603
20220712_21,R085.P01,12.715,40843
20220712_21,S100.P01,15.803,1962
20220712_21,S113.P01,15.855,55513
20220712_21,S133.P01,16.126,749665
20220712_21,S084.P01,16.221,4628
20220712_21,S099.P01,17.017,38381
20220712_21,S150.P01,17.027,55063
20220712_21,S136.P01,17.108,200915
20220712_21,S105.P04,17.898,18210
20220712_21,S147.P03,19.307,4184
20220712_21,T091.P08,25.182,54830
20220712_24,M071.P01,2.788,545959
20220712_24,M056.P02,3.175,9681
20220712_24,M045.P06,4.003,413126
20220712_24,M043.P08,4.007,154802
20220712_24,M045.P07,4.379,1173509
20220712_24,M057.P08,4.658,32114
20220712_24,M069.P05,4.804,126351
20220712_24,N073.P01,5.979,14481
20220712_24,N108.P01,7.214,92592
20220712_24,N057.P07,7.531,133398
20220712_24,N044.P11,9.107,59230
20220712_24,N094.P04,9.262,165634
20220712_24,Q081.P01,9.47,7455
20220712_24,Q085.P01,10.245,39168
20220712_24,Q057.P09,10.694,27599
20220712_24,Q113.P02,11.047,9296
20220712_24,Q097.P03,11.277,4592
20220712_24,R085.P01,12.725,38646
20220712_24,S100.P01,15.788,10629
20220712_24,S113.P01,15.856,78714
20220712_24,S133.P01,16.127,690561
20220712_24,S084.P01,16.216,30922
20220712_24,S099.P01,17.025,32487
20220712_24,S150.P01,17.029,88851
20220712_24,S136.P01,17.112,232565
20220712_24,S105.P04,17.92,7646
20220712_24,T091.P08,25.183,48361
20220712_29,M071.P01,2.744,190414
20220712_29,M045.P07,4.366,855182
20220712_29,V069.P04,4.433,73241
20220712_29,M057.P10,5.494,36183
20220712_29,N108.P01,7.206,518178
20220712_29,N108.P01,7.267,520787
20220712_29,N057.P07,7.517,67720
20220712_29,N094.P04,9.333,52747
20220712_29,Q081.P01,9.478,9968
20220712_29,R085.P01,12.787,41242
20220712_29,S113.P01,15.877,72482
20220712_29,S133.P01,16.128,776153
20220712_29,S084.P01,16.214,13593
20220712_29,S150.P01,17.032,109484
20220712_29,S099.P01,17.087,3227
20220712_29,S136.P01,17.118,217026
20220712_29,S105.P04,17.929,34594
20220712_29,S095.P01,18.207,2911
20220712_29,T091.P08,25.177,48900
20220712_33,M041.P04,3.354,1906364
20220712_33,N044.P11,9.116,3340838
20220712_33,Q122.P02,10.306,57959
20220712_33,R042.P02,14.7,86333
20220712_33,S133.P01,16.129,515193
20220712_33,S136.P01,17.155,1202087
20220712_33,S091.P02,18.427,76792
20220712_33,S147.P03,19.272,8888
20220712_34,M043.P03,3.063,95512
20220712_34,M056.P02,3.164,13010
20220712_34,M045.P06,4.067,256765
20220712_34,V069.P04,4.367,48031
20220712_34,M057.P08,4.625,59291
20220712_34,N057.P07,7.529,275047
20220712_34,N057.P10,8.572,65128
20220712_34,N093.P02,9.112,1951
20220712_34,N094.P04,9.248,183798
20220712_34,Q054.P01,9.509,4900
20220712_34,Q097.P03,11.257,20423
20220712_34,R085.P01,12.688,30149
20220712_34,S100.P01,15.761,7663
20220712_34,S113.P01,15.841,50326
20220712_34,S133.P01,16.112,626584
20220712_34,S084.P01,16.205,25780
20220712_34,S150.P01,17.016,57861
20220712_34,S099.P01,17.021,16284
20220712_34,S136.P01,17.097,143784
20220712_34,S105.P04,17.91,14672
20220712_34,S147.P03,19.161,81006
20220712_34,T091.P08,25.158,35139
20220712_35,M071.P01,2.748,29597
20220712_35,V069.P04,4.365,135581
20220712_35,M045.P07,4.374,891167
20220712_35,M057.P08,4.677,14516
20220712_35,N056.P02,6.511,3873
20220712_35,N057.P06,7.69,7916
20220712_35,N093.P02,9.178,24754
20220712_35,Q081.P01,9.467,4560
20220712_35,Q054.P01,9.513,4348
20220712_35,Q059.P01,10.067,6607
20220712_35,Q097.P03,11.307,4755
20220712_35,R131.P04,14.183,2476
20220712_35,S113.P01,15.84,14730
20220712_35,S133.P01,16.118,453102
20220712_35,S084.P01,16.213,7893
20220712_35,S150.P01,17.019,71283
20220712_35,S136.P01,17.099,148178
20220712_35,S105.P04,17.887,8572
20220712_35,T091.P08,25.166,28792
20220718_04,M045.P02,3.313,76642
20220718_04,M043.P03,3.427,25334
20220718_04,M045.P07,4.373,567313
20220718_04,M055.P05,4.654,10685
20220718_04,M069.P05,4.837,8541
20220718_04,N108.P01,7.242,55139
20220718_04,N093.P02,9.185,39983
20220718_04,N094.P04,9.333,87410
20220718_04,Q081.P01,9.494,6258
20220718_04,Q125.P01,9.93,2545
20220718_04,Q097.P03,11.377,6333
20220718_04,R085.P01,12.779,28564
20220718_04,S100.P01,15.847,1413
20220718_04,S113.P01,15.885,57118
20220718_04,S133.P01,16.145,599361
20220718_04,S084.P01,16.233,14426
20220718_04,S150.P01,17.048,81118
20220718_04,S099.P01,17.1,9941
20220718_04,S136.P01,17.131,169572
20220718_04,S105.P04,17.932,6683
20220718_05,M044.P03,3.437,26359
20220718_05,M045.P07,4.374,608375
20220718_05,V069.P04,4.38,131062
20220718_05,M109.P01,5.577,35504
20220718_05,N094.P04,9.354,60833
20220718_05,Q081.P01,9.49,5676
20220718_05,Q128.P02,9.529,1711
20220718_05,Q097.P03,11.38,10469
20220718_05,R085.P01,12.79,34173
20220718_05,S100.P01,15.837,4092
20220718_05,S113.P01,15.884,80254
20220718_05,S133.P01,16.148,554155
20220718_05,S084.P01,16.233,15166
20220718_05,S136.P01,17.131,199461
20220718_05,S105.P04,17.942,13178
20220718_05,S091.P02,18.528,11800
20220718_05,S147.P03,19.238,20818
20220718_05,T091.P08,25.194,29670
20220718_12,M043.P03,3.076,43060
20220718_12,M056.P02,3.16,10329
20220718_12,M041.P04,3.34,32249
20220718_12,M045.P06,4.034,102258
20220718_12,M045.P07,4.381,624387
20220718_12,M109.P01,5.574,11357
20220718_12,N073.P01,6.047,15897
20220718_12,N057.P07,7.553,50807
20220718_12,N057.P06,7.593,17653
20220718_12,N059.P06,9.115,89941
20220718_12,N093.P02,9.119,3588
20220718_12,N044.P11,9.147,6570
20220718_12,N094.P04,9.231,55790
20220718_12,Q081.P01,9.478,4075
20220718_12,Q125.P01,9.917,1612
20220718_12,Q085.P01,10.256,34502
20220718_12,R085.P01,12.725,31626
20220718_12,R099.P01,13.313,15364
20220718_12,S100.P01,15.798,4128
20220718_12,S113.P01,15.86,39596
20220718_12,S133.P01,16.132,575437
20220718_12,S099.P01,17.02,58686
20220718_12,S136.P01,17.118,174790
20220718_12,S105.P04,17.906,19357
20220718_12,S147.P03,19.27,9144
20220718_12,T071.P01,23.091,87282
20220718_20,M071.P01,2.76,99835
20220718_20,M043.P03,3.069,41541
20220718_20,M045.P06,4.014,146487
20220718_20,M045.P07,4.376,425462
20220718_20,M059.P04.2,4.483,74300
20220718_20,M057.P08,4.65,23541
20220718_20,N057.P07,7.57,19348
20220718_20,N093.P02,9.179,4830
20220718_20,N094.P04,9.257,40068
20220718_20,N059.P06,9.263,22459
20220718_20,Q081.P01,9.477,5444
20220718_20,Q085.P01,10.245,39791
20220718_20,Q097.P03,11.287,14387
20220718_20,R085.P01,12.71,49941
20220718_20,R099.P01,13.27,9216
20220718_20,S100.P01,15.807,1837
20220718_20,S113.P01,15.86,45237
20220718_20,S133.P01,16.131,424046
20220718_20,S099.P01,17.021,40197
20220718_20,S150.P01,17.032,31601
20220718_20,S136.P01,17.115,145544
20220718_20,S105.P04,17.904,15639
20220718_20,S147.P03,19.223,34822
20220718_20,T071.P01,23.088,84033
20220718_20,T091.P08,25.178,31581
20220718_31,M071.P01,2.813,48608
20220718_31,M045.P06,4.02,177309
20220718_31,M045.P07,4.376,959192
20220718_31,M057.P08,4.651,24186
20220718_31,M069.P05,4.837,1689
20220718_31,N057.P07,7.534,146809
20220718_31,N044.P11,9.093,52200
20220718_31,N059.P06,9.1,364425
20220718_31,N093.P02,9.17,1556
20220718_31,N094.P04,9.266,48703
20220718_31,Q081.P01,9.464,6903
20220718_31,Q085.P01,10.234,29295
20220718_31,R085.P01,12.722,28507
20220718_31,R099.P01,13.27,19452
20220718_31,S100.P01,15.795,10258
20220718_31,S113.P01,15.854,77256
20220718_31,S133.P01,16.128,520509
20220718_31,S150.P01,17.027,94322
20220718_31,S099.P01,17.028,37355
20220718_31,S136.P01,17.108,245144
20220718_31,S105.P04,17.937,4920
20220718_31,T057.P13,30.41,3502
20220718_35,M071.P01,2.749,44019
20220718_35,M045.P02,3.363,34932
20220718_35,M041.P04,3.374,19696
20220718_35,M045.P07,4.363,460944
20220718_35,M057.P08,4.718,106805
20220718_35,M109.P01,5.56,36934
20220718_35,N108.P01,7.239,336135
20220718_35,N070.P03,8.923,3446
20220718_35,N059.P06,9.253,154809
20220718_35,N094.P04,9.322,61326
20220718_35,Q081.P01,9.473,5912
20220718_35,Q059.P01,10.074,33328
20220718_35,Q097.P03,11.362,14422
20220718_35,R085.P01,12.768,35728
20220718_35,S113.P01,15.869,55345
20220718_35,S133.P01,16.128,639933
20220718_35,S150.P01,17.033,103434
20220718_35,S099.P01,17.11,10021
20220718_35,S136.P01,17.114,201933
20220718_35,S105.P04,17.923,27732
20220718_35,S091.P02,18.485,8668
20220718_35,S147.P03,19.21,50186
20220718_35,T071.P01,23.085,127551
20220718_35,T091.P08,25.18,38914
20220718_41,M071.P01,2.748,93963
20220718_41,M043.P03,3.27,87831
20220718_41,M045.P02,3.311,8976
20220718_41,M045.P07,4.365,743105
20220718_41,V069.P04,4.397,118164
20220718_41,M069.P05,4.804,14941
20220718_41,N108.P01,7.238,50474
20220718_41,N059.P06,9.244,424453
20220718_41,N094.P04,9.369,41889
20220718_41,Q081.P01,9.472,5956
20220718_41,Q054.P01,9.526,5208
20220718_41,R085.P01,12.755,31605
20220718_41,R099.P01,13.332,24936
20220718_41,S100.P01,15.833,2166
20220718_41,S113.P01,15.866,91268
20220718_41,S133.P01,16.129,510803
20220718_41,S084.P01,16.211,13627
20220718_41,S150.P01,17.026,127657
20220718_41,S136.P01,17.114,207199
20220718_41,S099.P01,17.126,19482
20220718_41,S105.P04,17.921,16241
20220718_41,S147.P03,19.227,23987
20220718_48,M071.P01,2.807,67750
20220718_48,M056.P02,3.179,6641
20220718_48,M044.P03,3.417,17647
20220718_48,V069.P04,4.38,61414
20220718_48,M045.P07,4.382,962157
20220718_48,V056.P03,4.51,5859
20220718_48,M109.P01,5.56,29862
20220718_48,N057.P07,7.6,114999
20220718_48,N044.P11,9.138,42238
20220718_48,N059.P06,9.151,137608
20220718_48,N094.P04,9.299,37875
20220718_48,Q081.P01,9.468,4224
20220718_48,Q054.P01,9.519,5372
20220718_48,Q057.P09,10.698,19424
20220718_48,R085.P01,12.739,27046
20220718_48,R099.P01,13.373,3532
20220718_48,S100.P01,15.798,12922
20220718_48,S113.P01,15.857,58165
20220718_48,S133.P01,16.123,695019
20220718_48,S150.P01,17.028,82508
20220718_48,S136.P01,17.11,207615
20220718_48,S128.P01,17.525,16522
20220718_48,S091.P02,18.48,7440
20220718_48,T091.P08,25.176,40688
20220718_50,M056.P02,3.093,7670
20220718_50,M045.P07,4.36,777408
20220718_50,V069.P04,4.44,56266
20220718_50,N057.P06,7.696,22272
20220718_50,N093.P02,9.171,11469
20220718_50,N044.P11,9.231,13798
20220718_50,N059.P06,9.267,62463
20220718_50,N094.P04,9.287,9629
20220718_50,Q081.P01,9.472,6257
20220718_50,Q125.P01,9.85,1380
20220718_50,R085.P01,12.741,15057
20220718_50,S113.P01,15.858,27893
20220718_50,S133.P01,16.124,661141
20220718_50,S084.P01,16.217,20317
20220718_50,S150.P01,17.027,73010
20220718_50,S136.P01,17.109,163234
20220718_50,S105.P04,17.917,15724
20220718_50,S105.P04,17.923,8108
20220718_50,S095.P01,18.177,1247
20220718_50,S147.P03,19.3,5673
20220718_50,T091.P08,25.184,38065
20220718_51,M043.P03,3.079,77493
20220718_51,M044.P03,3.455,55420
20220718_51,M045.P06,4.014,206459
20220718_51,V069.P04,4.361,83765
20220718_51,M045.P07,4.377,471651
20220718_51,M069.P05,4.815,6808
